Pro,Link,Con,Link
"The pro side argues rising levels of atmospheric greenhouse gases are a direct result of human activities such as burning fossil fuels, and that these increases are causing significant and increasingly severe climate changes including global warming, loss of sea ice, sea level rise, stronger storms, and more droughts. They contend that immediate international action to reduce greenhouse gas emissions is necessary to prevent dire climate changes.",https://climatechange.procon.org/view.resource.php?resourceID=006525,"The con side argues human-generated greenhouse gas emissions are too small to substantially change the earth’s climate and that the planet is capable of absorbing those increases. They contend that warming over the 20th century resulted primarily from natural processes such as fluctuations in the sun's heat and ocean currents. They say the theory of human-caused global climate change is based on questionable measurements, faulty climate models, and misleading science.",https://climatechange.procon.org/view.resource.php?resourceID=006525
"greenhouse gases ""threaten public health"" and are ""the primary driver of climate change.""",,"Keynote speaker and Massachusetts Institute of Technology meteorologist Richard Lindzen told the gathering that “there is no substantive basis for predictions of sizeable global warming due to observed increases in minor greenhouse gases such as carbon dioxide, methane and chlorofluorocarbons.”",https://www.scientificamerican.com/article/is-global-warming-a-myth/
"A 2013 review of over 11,000 peer-reviewed studies published from 1991-2011 found that 97% of the studies expressing a position on the issue endorsed the idea that humans are causing global warming.",,"Most skeptics attribute global warming—few if any doubt any longer that the warming itself is occurring, given the worldwide rise in surface temperature—to natural cycles, not emissions from power plants, automobiles and other human activity. “The observational evidence…suggests that any warming from the growth of greenhouse gases is likely to be minor, difficult to detect above the natural fluctuations of the climate, and therefore inconsequential,” says atmospheric physicist Fred Singer, an outspoken global warming skeptic and founder of the advocacy-oriented Science and Environmental Policy Project.",
most of the observed increase in global average temperatures since the mid-20th century is very likely [90% confidence] due to the observed increase in anthropogenic [man-made] greenhouse gas concentrations.,,Earth history shows climate has regularly responded to cyclical changes in the Sun's energy output. Any warming we see can be attributed mainly to variations in the Sun's magnetic field and solar wind.,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/jul/25/these-are-the-best-arguments-from-the-3-of-climate-scientist-skeptics-really
"climate change ""a global public health problem,"" stated that climate change impacts are already ""visible in every state,"" and concluded that human-induced ""climate change is happening now.""",,"Ice-cores dating back nearly one million years show a pattern of temperature and CO2 rise at roughly 100,000-year intervals. But the CO2 rise has always come after the temperature rise, not before, presumably as warmer temperatures have liberated the gas from oceans.",
"""Human influence on the climate system is clear,"" and that ""recent climate changes have had widespread impacts on human and natural systems."" It went on to say that continued emission of greenhouse gases ""will cause further warming and long-lasting changes in all components of the climate system, increasing the likelihood of severe, pervasive and irreversible impacts for people and ecosystems.""",,Earth's climate has always been changing.,https://motherboard.vice.com/en_us/article/pg5zqg/a-guide-to-the-climate-change-deniers-in-congress
"Global surface air temperature has increased by approximately 1.8°F between 1901 and 2016. According to the federal government's US Global Change Research Program, ""it is extremely likely that human influence has been the dominant cause of the observed warming.""",,"Over time, global temperature and carbon dioxide levels stabilized. This large-scale fluctuation occurred millions of years before human beings populated the planet, ",https://harvardsciencereview.com/2016/12/20/climate-change-skeptics-their-arguments-their-motivations-and-how-to-critically-evaluate-the-knowledge-at-hand/
"A 2013 peer-reviewed study found that global warming over the past 100 years has proceeded at a rate faster than at any time in the past 11,300 years.",,"Other cited natural causes include systematic variations in the amount and distribution of solar radiation, and the El Niño– Southern Oscillation phenomenon, a periodical fluctuation in wind patterns and sea surface temperatures",
"A 2010 peer-reviewed study of the earth's climate 460-445 million years ago found that an intense period of glaciation, not warming, occurred when CO2 levels were 5 times higher than they are today.",,We can’t trust computer models,
"the U.S. National Academy of Sciences declared in 2005 that “greenhouse gases are accumulating in Earth’s atmosphere as a result of human activities, causing surface air temperatures and subsurface ocean temperatures to rise,” adding that “the scientific understanding of climate change is now sufficiently clear to justify nations taking prompt action.”",https://www.scientificamerican.com/article/is-global-warming-a-myth/,It’s all a conspiracy,
"Intergovernmental Panel on Climate Change (IPCC), a group of 600 leading climate scientists from 40 nations, says it is “very likely” (more than a 90 percent chance) that humans are causing a global temperature change that will reach between 3.2 and 7.2 degrees Fahrenheit by the end of this century.",,Some climate sceptics argue that the warming we are now experiencing is simply due to the planet recovering from the Little Ice Age,https://www.newscientist.com/article/dn11645-climate-myths-we-are-simply-recovering-from-the-little-ice-age/
"The strongest evidence for global warming comes from physics and chemistry, not from records of past temperatures, which is why scientists were predicting warming long before the rise in temperature over the 20th century was obvious.",https://www.newscientist.com/article/dn17808-climate-myths-any-cooling-disproves-global-warming/,"It’s been far warmer in the past, what’s the big deal?",
"Regional cooling does not disprove global warming. In any case, Antarctica has warmed overall over the past 50 years",https://www.newscientist.com/article/dn11648-climate-myths-antarctica-is-getting-cooler-not-warmer-disproving-global-warming/,"It was warmer during the Medieval period, with vineyards in England",https://www.newscientist.com/article/dn11644-climate-myths-it-was-warmer-during-the-medieval-period-with-vineyards-in-england/
"Even if Antarctica was getting cooler, it would not mean the world as a whole isn’t warming. Climate models do not predict an even warming of the whole planet: changes in wind patterns and ocean currents can change the way heat is distributed, leading to some parts warming much faster than average, while a few may cool, at least at first.",,Any cooling disproves global warming,
"“For recent decades, all current atmospheric data sets now show global-average warming that is similar to the surface warming.”",https://www.newscientist.com/article/dn11660-climate-myths-the-lower-atmosphere-is-cooling-not-warming/,"Antarctica is getting cooler, not warmer, disproving global warming",https://www.newscientist.com/article/dn11648-climate-myths-antarctica-is-getting-cooler-not-warmer-disproving-global-warming/
higher levels of greenhouse gases trapping more of the sun’s heat.,https://www.newscientist.com/article/dn11650-climate-myths-global-warming-is-down-to-the-sun-not-humans/,"The lower atmosphere is cooling, not warming",
models suggest that the effect of of cosmic rays are “far too small to make noticeable changes in cloud properties”.,https://www.newscientist.com/article/dn11651-climate-myths-its-all-down-to-cosmic-rays/,The oceans are cooling,
CO2 is still responsible for two-thirds of the additional warming caused by all the greenhouse gases emitted as a result of human activity.,https://www.newscientist.com/article/dn11652-climate-myths-co2-isnt-the-most-important-greenhouse-gas/,Human CO2 emissions are too tiny to matter,https://www.newscientist.com/article/dn11638-climate-myths-human-co2-emissions-are-too-tiny-to-matter/
"If, however, the models include human emissions, including greenhouse gases and aerosols, they accurately reproduce the 1940 to 1970 dip in temperatures.",https://www.newscientist.com/article/dn11639-climate-myths-the-cooling-after-1940-shows-co2-does-not-cause-warming/,"Global warming is down to the Sun, not humans",https://www.newscientist.com/article/dn11650-climate-myths-global-warming-is-down-to-the-sun-not-humans/
"Most of the warming occurred in the past 35 years, with 16 of the 17 warmest years on record occurring since 2001. Not only was 2016 the warmest year on record, but eight of the 12 months that make up the year — from January through September, with the exception of June — were the warmest on record for those respective months.",https://climate.nasa.gov/evidence/,It’s all down to cosmic rays,
"The Greenland and Antarctic ice sheets have decreased in mass. Data from NASA's Gravity Recovery and Climate Experiment show Greenland lost 150 to 250 cubic kilometers (36 to 60 cubic miles) of ice per year between 2002 and 2006, while Antarctica lost about 152 cubic kilometers (36 cubic miles) of ice between 2002 and 2005.",,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,https://www.nytimes.com/2017/12/28/climate/trump-tweet-global-warming.html
"Glaciers are retreating almost everywhere around the world — including in the Alps, Himalayas, Andes, Rockies, Alaska and Africa",,,
Satellite observations reveal that the amount of spring snow cover in the Northern Hemisphere has decreased over the past five decades and that the snow is melting earlier,,,
Both the extent and thickness of Arctic sea ice has declined rapidly over the last several decades,,,
"Global sea level rose about 8 inches in the last century. The rate in the last two decades, however, is nearly double that of the last century",,,
"The number of record high temperature events in the United States has been increasing, while the number of record low temperature events has been decreasing, since 1950. The U.S. has also witnessed increasing numbers of intense rainfall events.",,,
